"target_sparsity","ppl_test","Hyper_m","Lamda","Owl_alpha"
"0.6","8.8447","5.0","0.08","0.15"
"0.6","8.851","5.0","0.08","0.2"
"0.6","8.8545","5.0","0.08","0.25"
"0.6","8.8879","5.0","0.1","0.1"
"0.6","8.8913","5.0","0.06","0.1"
"0.6","8.8935","5.0","0.06","0.15"
"0.6","8.9","5.0","0.06","0.2"
"0.6","8.9003","5.0","0.1","0.15"
"0.6","8.9055","5.0","0.06","0.25"
"0.6","8.9086","5.0","0.1","0.2"
"0.6","8.9118","5.0","0.1","0.25"
"0.6","8.9262","6.0","0.08","0.1"
"0.6","8.9285","6.0","0.08","0.15"
"0.6","8.9312","6.0","0.08","0.2"
"0.6","8.9336","6.0","0.08","0.25"
"0.6","8.9727","6.0","0.1","0.1"
"0.6","8.9738","6.0","0.1","0.2"
"0.6","8.9742","6.0","0.1","0.15"
"0.6","8.9747","6.0","0.1","0.25"
"0.6","9.0121","6.0","0.06","0.2"
"0.6","9.0123","6.0","0.06","0.25"
"0.6","9.0129","6.0","0.06","0.1"
"0.6","9.0153","6.0","0.06","0.15"
"0.6","9.0226","7.0","0.1","0.1"
"0.6","9.026","7.0","0.1","0.15"
"0.6","9.0297","7.0","0.1","0.2"
"0.6","9.0303","7.0","0.1","0.25"
"0.6","9.0426","5.0","0.12","0.1"
"0.6","9.0481","7.0","0.08","0.2"
"0.6","9.0485","5.0","0.04","0.1"
"0.6","9.0485","5.0","0.12","0.15"
"0.6","9.0506","7.0","0.08","0.15"
"0.6","9.0514","7.0","0.08","0.25"
"0.6","9.0521","5.0","0.12","0.2"
"0.6","9.0529","7.0","0.08","0.1"
"0.6","9.0539","6.0","0.12","0.1"
"0.6","9.0554","5.0","0.04","0.2"
"0.6","9.0555","5.0","0.04","0.15"
"0.6","9.0566","5.0","0.12","0.25"
"0.6","9.0573","6.0","0.12","0.15"
"0.6","9.0581","6.0","0.12","0.2"
"0.6","9.0586","5.0","0.04","0.25"
"0.6","9.0608","6.0","0.12","0.25"
"0.6","9.1089","7.0","0.12","0.2"
"0.6","9.1093","7.0","0.12","0.1"
"0.6","9.1112","7.0","0.12","0.15"
"0.6","9.113","7.0","0.12","0.25"
"0.6","9.1283","7.0","0.06","0.15"
"0.6","9.1304","7.0","0.06","0.1"
"0.6","9.1308","7.0","0.06","0.25"
"0.6","9.1315","7.0","0.06","0.2"
"0.6","9.1578","6.0","0.04","0.15"
"0.6","9.1595","6.0","0.04","0.1"
"0.6","9.1618","6.0","0.04","0.2"
"0.6","9.1642","6.0","0.04","0.25"
"0.6","9.1819","7.0","0.14","0.25"
"0.6","9.1834","7.0","0.14","0.15"
"0.6","9.1837","7.0","0.14","0.1"
"0.6","9.185","7.0","0.14","0.2"
"0.6","9.2329","6.0","0.14","0.1"
"0.6","9.2347","6.0","0.14","0.15"
"0.6","9.2362","6.0","0.14","0.2"
"0.6","9.2391","6.0","0.14","0.25"
"0.6","9.2454","5.0","0.14","0.1"
"0.6","9.2473","5.0","0.14","0.15"
"0.6","9.2507","5.0","0.14","0.2"
"0.6","9.2563","5.0","0.14","0.25"
"0.6","9.2794","7.0","0.04","0.1"
"0.6","9.2821","7.0","0.04","0.15"
"0.6","9.2837","7.0","0.04","0.2"
"0.6","9.284","7.0","0.04","0.25"
"0.6","9.3052","7.0","0.16","0.25"
"0.6","9.3066","7.0","0.16","0.2"
"0.6","9.3097","7.0","0.16","0.15"
"0.6","9.31","7.0","0.16","0.1"
"0.6","9.3573","5.0","0.02","0.15"
"0.6","9.3577","5.0","0.02","0.25"
"0.6","9.3588","5.0","0.02","0.1"
"0.6","9.3593","5.0","0.02","0.2"
"0.6","9.4409","6.0","0.02","0.15"
"0.6","9.4427","6.0","0.16","0.1"
"0.6","9.4431","6.0","0.02","0.2"
"0.6","9.4443","6.0","0.02","0.1"
"0.6","9.4458","6.0","0.02","0.25"
"0.6","9.4495","6.0","0.16","0.15"
"0.6","9.4528","6.0","0.16","0.2"
"0.6","9.4587","6.0","0.16","0.25"
"0.6","9.4934","7.0","0.18","0.25"
"0.6","9.4954","7.0","0.18","0.2"
"0.6","9.5004","7.0","0.18","0.15"
"0.6","9.5029","7.0","0.02","0.2"
"0.6","9.5043","7.0","0.02","0.15"
"0.6","9.5046","7.0","0.18","0.1"
"0.6","9.5058","7.0","0.02","0.1"
"0.6","9.5081","7.0","0.02","0.25"
"0.6","9.5381","5.0","0.16","0.1"
"0.6","9.5512","5.0","0.16","0.15"
"0.6","9.5581","5.0","0.16","0.2"
"0.6","9.5783","5.0","0.16","0.25"
"0.6","9.7045","7.0","0.2","0.1"
"0.6","9.7057","7.0","0.2","0.2"
"0.6","9.7072","7.0","0.2","0.25"
"0.6","9.7076","7.0","0.2","0.15"
"0.6","9.7235","6.0","0.18","0.1"
"0.6","9.7324","6.0","0.18","0.15"
"0.6","9.7381","6.0","0.18","0.2"
"0.6","9.7381","6.0","0.18","0.25"
"0.6","9.9296","5.0","0.18","0.1"
"0.6","9.9429","5.0","0.18","0.15"
"0.6","9.9488","5.0","0.18","0.2"
"0.6","9.9601","5.0","0.18","0.25"
"0.6","10.104","6.0","0.2","0.15"
"0.6","10.1052","6.0","0.2","0.1"
"0.6","10.112","6.0","0.2","0.2"
"0.6","10.1196","6.0","0.2","0.25"
"0.6","10.4155","5.0","0.2","0.1"
"0.6","10.4344","5.0","0.2","0.15"
"0.6","10.4384","5.0","0.2","0.2"
"0.6","10.4506","5.0","0.2","0.25"
"0.7","20.871","5.0","0.12","0.1"
"0.7","20.8991","5.0","0.12","0.2"
"0.7","20.9369","5.0","0.12","0.15"
"0.7","20.9726","5.0","0.12","0.25"
"0.7","21.1858","5.0","0.14","0.1"
"0.7","21.2111","5.0","0.14","0.2"
"0.7","21.235","5.0","0.14","0.15"
"0.7","21.3383","5.0","0.14","0.25"
"0.7","21.593","5.0","0.1","0.1"
"0.7","21.6601","5.0","0.1","0.15"
"0.7","21.6933","5.0","0.1","0.2"
"0.7","21.7639","5.0","0.1","0.25"
"0.7","22.1411","6.0","0.14","0.1"
"0.7","22.1568","6.0","0.14","0.15"
"0.7","22.1776","5.0","0.16","0.1"
"0.7","22.1776","6.0","0.14","0.2"
"0.7","22.2403","6.0","0.14","0.25"
"0.7","22.3071","5.0","0.16","0.15"
"0.7","22.3126","6.0","0.12","0.1"
"0.7","22.3233","6.0","0.12","0.2"
"0.7","22.3383","6.0","0.12","0.15"
"0.7","22.359","5.0","0.16","0.2"
"0.7","22.3612","6.0","0.12","0.25"
"0.7","22.4374","5.0","0.16","0.25"
"0.7","22.7071","6.0","0.16","0.1"
"0.7","22.7381","6.0","0.16","0.15"
"0.7","22.8605","6.0","0.16","0.2"
"0.7","22.9222","6.0","0.16","0.25"
"0.7","23.6182","6.0","0.1","0.2"
"0.7","23.6442","6.0","0.18","0.1"
"0.7","23.6509","6.0","0.1","0.25"
"0.7","23.6676","6.0","0.1","0.15"
"0.7","23.6736","6.0","0.18","0.15"
"0.7","23.6748","6.0","0.1","0.1"
"0.7","23.8051","6.0","0.18","0.2"
"0.7","23.8052","6.0","0.18","0.25"
"0.7","24.0082","5.0","0.08","0.1"
"0.7","24.0232","5.0","0.08","0.2"
"0.7","24.0581","5.0","0.08","0.15"
"0.7","24.0752","5.0","0.08","0.25"
"0.7","24.0769","5.0","0.18","0.1"
"0.7","24.0962","5.0","0.18","0.15"
"0.7","24.1536","7.0","0.16","0.1"
"0.7","24.2099","7.0","0.16","0.15"
"0.7","24.2257","7.0","0.16","0.2"
"0.7","24.2436","7.0","0.16","0.25"
"0.7","24.259","5.0","0.18","0.2"
"0.7","24.3715","5.0","0.18","0.25"
"0.7","24.399","7.0","0.18","0.15"
"0.7","24.4128","7.0","0.18","0.2"
"0.7","24.4252","7.0","0.18","0.1"
"0.7","24.4437","7.0","0.18","0.25"
"0.7","24.5193","7.0","0.14","0.1"
"0.7","24.5848","7.0","0.14","0.25"
"0.7","24.6087","7.0","0.14","0.15"
"0.7","24.6554","7.0","0.14","0.2"
"0.7","25.0341","7.0","0.12","0.1"
"0.7","25.0528","7.0","0.12","0.2"
"0.7","25.0532","7.0","0.12","0.15"
"0.7","25.1376","7.0","0.12","0.25"
"0.7","25.2665","7.0","0.2","0.15"
"0.7","25.3347","7.0","0.2","0.1"
"0.7","25.3643","7.0","0.2","0.25"
"0.7","25.3838","7.0","0.2","0.2"
"0.7","25.5728","6.0","0.2","0.1"
"0.7","25.5974","6.0","0.2","0.15"
"0.7","25.7215","6.0","0.2","0.2"
"0.7","25.7954","6.0","0.2","0.25"
"0.7","25.9544","6.0","0.08","0.2"
"0.7","26.0044","6.0","0.08","0.25"
"0.7","26.0482","6.0","0.08","0.15"
"0.7","26.0679","6.0","0.08","0.1"
"0.7","26.6613","7.0","0.1","0.2"
"0.7","26.662","7.0","0.1","0.25"
"0.7","26.7185","7.0","0.1","0.15"
"0.7","26.7263","7.0","0.1","0.1"
"0.7","26.8279","5.0","0.2","0.1"
"0.7","26.8869","5.0","0.2","0.15"
"0.7","27.0819","5.0","0.2","0.2"
"0.7","27.2749","5.0","0.2","0.25"
"0.7","27.9759","5.0","0.06","0.15"
"0.7","28.0049","5.0","0.06","0.25"
"0.7","28.016","5.0","0.06","0.2"
"0.7","28.0633","5.0","0.06","0.1"
"0.7","29.2167","7.0","0.08","0.2"
"0.7","29.2262","7.0","0.08","0.15"
"0.7","29.2431","7.0","0.08","0.1"
"0.7","29.3099","7.0","0.08","0.25"
"0.7","30.2254","6.0","0.06","0.1"
"0.7","30.2634","6.0","0.06","0.15"
"0.7","30.3492","6.0","0.06","0.2"
"0.7","30.4153","6.0","0.06","0.25"
"0.7","33.7892","7.0","0.06","0.25"
"0.7","33.9314","7.0","0.06","0.1"
"0.7","33.9579","7.0","0.06","0.2"
"0.7","33.966","7.0","0.06","0.15"
"0.7","34.7377","5.0","0.04","0.2"
"0.7","34.7855","5.0","0.04","0.25"
"0.7","34.7857","5.0","0.04","0.15"
"0.7","34.944","5.0","0.04","0.1"
"0.7","37.7836","6.0","0.04","0.25"
"0.7","37.7971","6.0","0.04","0.2"
"0.7","37.9072","6.0","0.04","0.15"
"0.7","38.0031","6.0","0.04","0.1"
"0.7","41.1704","7.0","0.04","0.2"
"0.7","41.2576","7.0","0.04","0.15"
"0.7","41.3635","7.0","0.04","0.1"
"0.7","41.3682","7.0","0.04","0.25"
"0.7","47.8174","5.0","0.02","0.25"
"0.7","47.8386","5.0","0.02","0.15"
"0.7","48.0164","5.0","0.02","0.1"
"0.7","48.022","5.0","0.02","0.2"
"0.7","48.1758","6.0","0.02","0.15"
"0.7","48.3267","6.0","0.02","0.1"
"0.7","48.3409","6.0","0.02","0.25"
"0.7","48.3445","6.0","0.02","0.2"
"0.7","49.1395","7.0","0.02","0.1"
"0.7","49.1857","7.0","0.02","0.15"
"0.7","49.3152","7.0","0.02","0.2"
"0.7","49.3252","7.0","0.02","0.25"
